sector,subsector_L3,subsector_L2,subsector_L1,vehicle_type,technology,CES_node
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,Truck (40t),NG,fegat_f_sm
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,3W Rural,Liquids,fedie_f_sm
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,3W Rural,NG,fegat_f_sm
trn_freight,Domestic Ship,Domestic Ship_tmp_subsector_L2,Domestic Ship_tmp_subsector_L1,Domestic Ship_tmp_vehicletype,Liquids,fedie_f_sm
trn_freight,Freight Rail,Freight Rail_tmp_subsector_L2,Freight Rail_tmp_subsector_L1,Freight Rail_tmp_vehicletype,Adv-Electric,feelt_f_sm
trn_freight,Freight Rail,Freight Rail_tmp_subsector_L2,Freight Rail_tmp_subsector_L1,Freight Rail_tmp_vehicletype,Adv-Liquid,fedie_f_sm
trn_freight,Freight Rail,Freight Rail_tmp_subsector_L2,Freight Rail_tmp_subsector_L1,Freight Rail_tmp_vehicletype,Coal,fedie_f_sm
trn_freight,Freight Rail,Freight Rail_tmp_subsector_L2,Freight Rail_tmp_subsector_L1,Freight Rail_tmp_vehicletype,Electric,feelt_f_sm
trn_freight,Freight Rail,Freight Rail_tmp_subsector_L2,Freight Rail_tmp_subsector_L1,Freight Rail_tmp_vehicletype,Liquids,fedie_f_sm
trn_aviation_intl,International Aviation,International Aviation_tmp_subsector_L2,International Aviation_tmp_subsector_L1,International Aviation_tmp_vehicletype,Liquids,fedie_p_lo
trn_shipping_intl,International Ship,International Ship_tmp_subsector_L2,International Ship_tmp_subsector_L1,International Ship_tmp_vehicletype,Liquids,fedie_f_lo
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,Truck (0-3.5t),Electric,feelt_f_sm
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,Truck (7.5t),Electric,feelt_f_sm
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,Truck (18t),Electric,feelt_f_sm
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,Truck (26t),Electric,feelt_f_sm
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,Truck (40t),Electric,feelt_f_sm
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,3W Rural,Electric,feelt_f_sm
trn_pass,trn_pass_road,Bus,Bus_tmp_subsector_L1,Bus_tmp_vehicletype,Electric,feelt_p_sm
trn_pass,trn_pass_road,trn_pass_road_bus,trn_pass_road_bus_tmp_subsector_L1,Heavy Bus,Electric,feelt_p_sm
trn_pass,trn_pass_road,trn_pass_road_bus,trn_pass_road_bus_tmp_subsector_L1,Light Bus,Electric,feelt_p_sm
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,Truck (0-3.5t),FCEV,feh2t_f_sm
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,Truck (7.5t),FCEV,feh2t_f_sm
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,Truck (18t),FCEV,feh2t_f_sm
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,Truck (26t),FCEV,feh2t_f_sm
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,Truck (40t),FCEV,feh2t_f_sm
trn_freight,trn_freight_road,trn_freight_road_tmp_subsector_L2,trn_freight_road_tmp_subsector_L1,3W Rural,FCEV,feh2t_f_sm
trn_pass,trn_pass_road,Bus,Bus_tmp_subsector_L1,Bus_tmp_vehicletype,FCEV,feh2t_p_sm
trn_pass,trn_pass_road,trn_pass_road_bus,trn_pass_road_bus_tmp_subsector_L1,Heavy Bus,FCEV,feh2t_p_sm
trn_pass,trn_pass_road,trn_pass_road_bus,trn_pass_road_bus_tmp_subsector_L1,Light Bus,FCEV,feh2t_p_sm
