title;start;CES_parameters;cm_calibration_string;c_CES_calibration_new_structure;cm_CES_calibration_default_prices;c_CES_calibration_write_prices;cm_iteration_max;regionmapping;cm_techcosts;cm_rcp_scen;cm_iterative_target_adj;c_budgetCO2;carbonprice;regipol;cm_regiCO2target;cm_emiMktETS;cm_emiMktETS_type;cm_emiMktES;cm_emiMktES_type;cm_emiMktEScoop;cm_emiMktES2050;cm_NucRegiPol;cm_CCSRegiPol;cm_altFeEmiFac;cm_co2_tax_2020;climate;optimization;c_testOneRegi_region;cm_nash_mode;capitalMarket;buildings;transport;cm_EDGEtr_scen;cm_co2_tax_growth;cm_emiscen;techpol;cm_multigasscen;cm_INCONV_PENALTY_bioSwitch;cm_startyear;path_gdx;path_gdx_ref;path_gdx_bau
EU_net_neutral_2050_seg_ETS_ESD_trnsp_cons;0;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp26;5;950;expoLinear;regiCarbonPrice;2050.EUR_regi.year.netCO2 0.0001;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;30;off;nash;DEU;parallel;debt_limit;1;edge_esm;ConvCase;1.05;9;NDC2018;2;on;2035;./config/21_regions_EU11/input_EU11_edge_esm.gdx;seg_ETS_ESD_trnsp_cons;seg_ETS_ESD_trnsp_cons
EU_Bdg70_ETS_ESD_trnsp_cons;0;load;off;0;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;rcp26;5;950;expoLinear;regiCarbonPrice;2050.EUR_regi.budget.netCO2 70;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;30;off;nash;DEU;parallel;debt_limit;1;edge_esm;ConvCase;1.05;9;NDC2018;2;on;2020;./config/21_regions_EU11/input_EU11_edge_esm.gdx;ETS_ESD_Ref_trnsp_cons;ETS_ESD_Ref_trnsp_cons
_____Test_Scenarios_____;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
________regiTest;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EU11_CAZ;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;regiCarbonPrice;off;off;off;off;off;off;off;on;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;CAZ;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_CHA;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;CHA;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_IND;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;IND;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_JPN;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;JPN;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_LAM;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;LAM;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
EU11_MEA;0;calibrate;off;1;0;0;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;REG;none;0;0;none;none;off;off;off;off;off;off;off;off;2020;EUR_regi, NEU_regi;-1;off;testOneRegi;MEA;debug;debt_limit;simple;edge_esm;ConvCase;1.05;1;none;2;on;2005;./config/21_regions_EU11/input_EU11.gdx;;
